總分,技能,天賦,推薦,職缺,公司,來源,遠端,地點,命中關鍵字,連結
53,89,0,,產品設計師,財團法人均一平台教育基金會,Cake,,"台北市, 台灣",研究、分析、規劃、解決問題、協作、設計、發想、說故事,https://www.cake.me/companies/official-junyiacademy-org-job/jobs/product-designer-d32
49,81,0,,【設計部】部門｜資深使用者經驗研究員 Senior UX Researcher(JIRA712),全曜財經資訊股份有限公司,104,,新北市板橋區,研究、分析、規劃、教學、協作、設計,https://www.104.com.tw/job/9065i
44,74,0,,RD10019 UX Researcher / Designer（Design Engineer）,華碩電腦股份有限公司,104,,台北市北投區,研究、分析、規劃、協作、設計,https://www.104.com.tw/job/4qhzu
44,74,0,,【Product】UX Researcher / 使用者經驗研究員,新加坡商昇新科技股份有限公司台灣分公司,104,,台北市內湖區,研究、分析、規劃、解決問題、協作、設計,https://www.104.com.tw/job/8sn4l
42,70,0,,UX/Product Designer (Research Focus),InAddition Consultants Ltd.,Cake,,"台北市, 台灣",研究、分析、規劃、顧問、設計,https://www.cake.me/companies/inaddition-consultants/jobs/UXDesigner_ProductDesigner
42,70,0,,知名日商保險公司 💰 負責對接業務與工程師，產出系統規格文件，熟悉 SQL 資料查找 - 商業分析師/系統分析師 (BA/SA) - OW,Cake Recruitment Consulting,Cake,,"台北市, 台灣",分析、規劃、流程改善、顧問、協作、設計,https://www.cake.me/companies/cake-recruitment-consulting/jobs/a-well-known-japanese-insurance-company-is-seeking-a-business-analyst-systems-analyst-ba-sa-positi
42,70,0,,台灣知名產險公司 💰 要求 Java 全端經驗，負責 核心系統/對外通路 功能開發設計 - 資深系統分析師 SA - OW,Cake Recruitment Consulting,Cake,,"台北市, 台灣",分析、規劃、顧問、協作、設計,https://www.cake.me/companies/cake-recruitment-consulting/jobs/a-well-known-taiwanese-property-insurance-company-is-seeking-a-senior-systems-analyst-sa-or-owner
42,70,0,,用戶體驗研究員（UX Researcher）,遊石設計有限公司,104,,台北市大安區,研究、分析、規劃、顧問、協作、設計,https://www.104.com.tw/job/71grt
40,67,0,,機器人機構設計工程師 Mechanical Design Engineer,國立臺北科技大學,104,,台北市大安區,研究、分析、解決問題、協作、設計,https://www.104.com.tw/job/87lun
40,56,17,,顧問類-顧問/資深顧問(金融業ESG永續諮詢與確信服務),羅兵咸永道,LinkedIn,,台北,分析、規劃、解決問題、顧問、協作、細心可靠,https://tw.linkedin.com/jobs/view/%E9%A1%A7%E5%95%8F%E9%A1%9E-%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%B7%B1%E9%A1%A7%E5%95%8F-%E9%87%91%E8%9E%8D%E6%A5%ADesg%E6%B0%B8%E7%BA%8C%E8%AB%AE%E8%A9%A2%E8%88%87%E7%A2%BA%E4%BF%A1%E6%9C%8D%E5%8B%99-at-pwc-4399856153
40,67,0,,顧問類-顧問/資深顧問(數位轉型),羅兵咸永道,LinkedIn,,台北,研究、分析、規劃、顧問、協作、設計,https://tw.linkedin.com/jobs/view/%E9%A1%A7%E5%95%8F%E9%A1%9E-%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%B7%B1%E9%A1%A7%E5%95%8F-%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B-at-pwc-4303001840
38,63,0,,Program Planning Manager（課程企劃）,Aiworks,Cake,,"大安區, 台北市, 台灣",分析、規劃、教學、顧問、協作、設計,https://www.cake.me/companies/aiworks/jobs/program-planning-manager
38,63,0,,UI/UX 品牌網站設計師_2586,技嘉科技股份有限公司 GIGABYTE,Cake,,"新店區, 新北市, 台灣",研究、分析、規劃、協作、設計,https://www.cake.me/companies/gigabyte/jobs/ui-ux-website-designer_5043
38,63,0,,首席產品設計師/產品設計副理 | Principal Product Designer,街口電子支付股份有限公司,Cake,,"松山區, 台北市, 台灣",研究、分析、領導、協作、設計,https://www.cake.me/companies/jkopay/jobs/design-director-product-designer-director
